Timestamp,CPU Usage (%) (Normalized)
2024-12-29 17:58:03,0.00
2024-12-29 17:58:05,0.00
2024-12-29 17:58:05,0.00
2024-12-29 17:58:07,0.00
2024-12-29 17:58:07,0.00
2024-12-29 17:58:09,0.00
2024-12-29 17:58:10,19.12
2024-12-29 17:58:12,0.00
2024-12-29 17:58:12,4.90
2024-12-29 17:58:14,0.00
2024-12-29 17:58:15,12.05
2024-12-29 17:58:17,2.22
2024-12-29 17:58:17,0.00
2024-12-29 17:58:19,10.71
2024-12-29 17:58:20,0.00
2024-12-29 17:58:21,0.00
2024-12-29 17:58:22,0.00
2024-12-29 17:58:24,0.00
2024-12-29 17:58:24,0.43
2024-12-29 17:58:26,25.87
2024-12-29 17:58:27,0.00
2024-12-29 17:58:29,0.00
2024-12-29 17:58:29,0.00
2024-12-29 17:58:31,0.00
2024-12-29 17:58:32,3.01
2024-12-29 17:58:34,0.00
2024-12-29 17:58:34,0.00
2024-12-29 17:58:36,0.00
2024-12-29 17:58:36,1.77
2024-12-29 17:58:38,0.00
2024-12-29 17:58:39,0.43
2024-12-29 17:58:41,1.33
2024-12-29 17:58:41,0.00
2024-12-29 17:58:43,24.50
2024-12-29 17:58:44,0.00
2024-12-29 17:58:46,0.43
2024-12-29 17:58:46,0.43
2024-12-29 17:58:48,0.43
2024-12-29 17:58:48,0.00
2024-12-29 17:58:50,0.00
2024-12-29 17:58:51,10.26
2024-12-29 17:58:53,0.00
2024-12-29 17:58:53,0.43
2024-12-29 17:58:55,0.42
2024-12-29 17:58:56,0.00
2024-12-29 17:58:58,0.00
2024-12-29 17:58:58,0.00
2024-12-29 17:59:00,0.00
2024-12-29 17:59:00,2.67
2024-12-29 17:59:02,0.00
2024-12-29 17:59:03,4.90
2024-12-29 17:59:05,0.00
2024-12-29 17:59:05,9.81
2024-12-29 17:59:07,0.43
2024-12-29 17:59:08,31.62
2024-12-29 17:59:10,19.62
2024-12-29 17:59:10,3.12
2024-12-29 17:59:12,38.37
2024-12-29 17:59:12,0.00
2024-12-29 17:59:14,5.35
2024-12-29 17:59:15,20.00
2024-12-29 17:59:17,0.00
2024-12-29 17:59:17,0.00
2024-12-29 17:59:19,0.43
2024-12-29 17:59:20,0.00
2024-12-29 17:59:22,0.00
2024-12-29 17:59:22,0.00
2024-12-29 17:59:24,0.00
2024-12-29 17:59:24,2.67
2024-12-29 17:59:26,0.00
2024-12-29 17:59:27,0.00
2024-12-29 17:59:29,0.00
2024-12-29 17:59:29,0.00
2024-12-29 17:59:31,0.00
2024-12-29 17:59:32,4.01
2024-12-29 17:59:34,0.00
2024-12-29 17:59:34,0.00
2024-12-29 17:59:36,1.71
2024-12-29 17:59:36,0.00
2024-12-29 17:59:38,0.00
2024-12-29 17:59:39,0.43
2024-12-29 17:59:41,0.00
2024-12-29 17:59:41,5.80
2024-12-29 17:59:43,0.00
2024-12-29 17:59:44,3.12
2024-12-29 17:59:46,4.01
2024-12-29 17:59:46,0.00
2024-12-29 17:59:48,4.90
2024-12-29 17:59:48,0.00
2024-12-29 17:59:50,0.00
2024-12-29 17:59:51,0.00
2024-12-29 17:59:53,0.00
2024-12-29 17:59:53,20.87
2024-12-29 17:59:55,3.56
2024-12-29 17:59:56,0.00
2024-12-29 17:59:58,0.43
2024-12-29 17:59:58,0.00
2024-12-29 18:00:00,0.00
2024-12-29 18:00:00,0.00
2024-12-29 18:00:02,0.00
2024-12-29 18:00:03,26.75
2024-12-29 18:00:05,1.77
2024-12-29 18:00:05,0.00
2024-12-29 18:00:07,0.00
2024-12-29 18:00:08,0.00
2024-12-29 18:00:10,0.00
2024-12-29 18:00:10,0.00
2024-12-29 18:00:12,3.12
2024-12-29 18:00:12,0.00
2024-12-29 18:00:15,0.00
2024-12-29 18:00:15,4.90
2024-12-29 18:00:17,0.00
2024-12-29 18:00:17,4.46
2024-12-29 18:00:19,4.90
2024-12-29 18:00:20,15.12
2024-12-29 18:00:22,8.92
