Timestamp,Used (MB),Committed (MB),Max (MB)
1970-01-01 09:40:21,241.25,,
1970-01-01 09:40:21,263.25,,
1970-01-01 09:40:21,285.25,,
1970-01-01 09:40:21,305.25,,
1970-01-01 09:40:21,329.25,,
1970-01-01 09:40:21,349.25,,
1970-01-01 09:40:21,373.25,,
1970-01-01 09:40:21,395.25,,
1970-01-01 09:40:21,415.25,,
1970-01-01 09:40:21,441.25,,
1970-01-01 09:40:21,51.15,,
1970-01-01 09:40:21,75.15,,
1970-01-01 09:40:21,99.15,,
1970-01-01 09:40:21,119.15,,
1970-01-01 09:40:21,143.15,,
1970-01-01 09:40:21,163.15,,
1970-01-01 09:40:21,187.15,,
1970-01-01 09:40:21,205.15,,
1970-01-01 09:40:21,229.15,,
1970-01-01 09:40:21,253.15,,
1970-01-01 09:40:21,273.15,,
1970-01-01 09:40:21,297.15,,
1970-01-01 09:40:21,317.15,,
1970-01-01 09:40:21,339.15,,
1970-01-01 09:40:21,363.15,,
1970-01-01 09:40:21,383.15,,
1970-01-01 09:40:21,407.15,,
1970-01-01 09:40:21,427.15,,
1970-01-01 09:40:21,43.25,,
1970-01-01 09:40:21,67.25,,
1970-01-01 09:40:21,85.25,,
1970-01-01 09:40:21,109.25,,
1970-01-01 09:40:21,133.25,,
1970-01-01 09:40:21,153.25,,
1970-01-01 09:40:21,177.25,,
1970-01-01 09:40:21,199.25,,
1970-01-01 09:40:21,221.25,,
1970-01-01 09:40:21,245.25,,
1970-01-01 09:40:21,269.25,,
1970-01-01 09:40:21,289.25,,
1970-01-01 09:40:21,313.25,,
1970-01-01 09:40:21,333.25,,
1970-01-01 09:40:21,357.25,,
1970-01-01 09:40:21,381.25,,
1970-01-01 09:40:21,401.25,,
1970-01-01 09:40:21,427.25,,
1970-01-01 09:40:21,35.88,,
1970-01-01 09:40:21,59.88,,
1970-01-01 09:40:21,85.88,,
1970-01-01 09:40:21,103.88,,
1970-01-01 09:40:21,129.88,,
1970-01-01 09:40:21,149.88,,
1970-01-01 09:40:21,173.88,,
1970-01-01 09:40:21,197.88,,
1970-01-01 09:40:21,217.88,,
1970-01-01 09:40:21,241.88,,
1970-01-01 09:40:21,265.88,,
1970-01-01 09:40:21,285.88,,
1970-01-01 09:40:21,305.88,,
1970-01-01 09:40:21,331.88,,
1970-01-01 09:40:21,353.88,,
1970-01-01 09:40:21,375.88,,
1970-01-01 09:40:21,399.88,,
1970-01-01 09:40:21,423.88,,
1970-01-01 09:40:21,443.88,,
1970-01-01 09:40:21,59.88,,
1970-01-01 09:40:21,79.88,,
1970-01-01 09:40:21,99.88,,
1970-01-01 09:40:21,125.88,,
1970-01-01 09:40:21,149.88,,
1970-01-01 09:40:21,169.88,,
1970-01-01 09:40:21,193.88,,
1970-01-01 09:40:21,215.88,,
1970-01-01 09:40:21,237.88,,
1970-01-01 09:40:21,263.88,,
1970-01-01 09:40:21,283.88,,
1970-01-01 09:40:21,307.88,,
1970-01-01 09:40:21,333.88,,
1970-01-01 09:40:21,353.88,,
1970-01-01 09:40:21,377.88,,
1970-01-01 09:40:21,401.88,,
1970-01-01 09:40:21,427.88,,
1970-01-01 09:40:21,40.84,,
1970-01-01 09:40:21,64.84,,
1970-01-01 09:40:21,90.84,,
1970-01-01 09:40:21,110.84,,
1970-01-01 09:40:21,134.84,,
1970-01-01 09:40:21,154.84,,
1970-01-01 09:40:21,180.84,,
1970-01-01 09:40:21,202.84,,
1970-01-01 09:40:21,224.84,,
1970-01-01 09:40:21,248.84,,
1970-01-01 09:40:21,272.84,,
1970-01-01 09:40:21,294.84,,
1970-01-01 09:40:21,318.84,,
1970-01-01 09:40:21,344.84,,
1970-01-01 09:40:21,362.84,,
1970-01-01 09:40:21,388.84,,
1970-01-01 09:40:21,414.84,,
1970-01-01 09:40:21,434.84,,
1970-01-01 09:40:21,48.20,,
1970-01-01 09:40:21,72.20,,
1970-01-01 09:40:21,92.20,,
1970-01-01 09:40:21,118.20,,
1970-01-01 09:40:21,138.20,,
1970-01-01 09:40:21,158.20,,
1970-01-01 09:40:21,180.20,,
1970-01-01 09:40:21,204.20,,
1970-01-01 09:40:21,226.20,,
1970-01-01 09:40:21,248.20,,
1970-01-01 09:40:21,272.20,,
1970-01-01 09:40:21,294.20,,
1970-01-01 09:40:21,318.20,,
1970-01-01 09:40:21,340.20,,
1970-01-01 09:40:21,362.20,,
1970-01-01 09:40:21,384.20,,
1970-01-01 09:40:21,410.20,,
1970-01-01 09:40:21,430.20,,
1970-01-01 09:40:21,35.93,,
1970-01-01 09:40:21,57.93,,
1970-01-01 09:40:21,83.93,,
1970-01-01 09:40:21,103.93,,
1970-01-01 09:40:21,123.93,,
1970-01-01 09:40:21,149.93,,
1970-01-01 09:40:21,173.93,,
1970-01-01 09:40:21,193.93,,
1970-01-01 09:40:21,217.93,,
1970-01-01 09:40:21,239.93,,
1970-01-01 09:40:21,265.93,,
1970-01-01 09:40:21,285.93,,
1970-01-01 09:40:21,311.93,,
1970-01-01 09:40:21,335.93,,
1970-01-01 09:40:21,357.93,,
